peak_sample,peak_time_s
182,0.35546875
347,0.677734375
671,1.310546875
875,1.708984375
1094,2.13671875
1324,2.5859375
1518,2.96484375
1728,3.375
1908,3.7265625
2218,4.33203125
2388,4.6640625
2547,4.974609375
2821,5.509765625
3022,5.90234375
3222,6.29296875
3385,6.611328125
3572,6.9765625
3712,7.25
3968,7.75
4395,8.583984375
4719,9.216796875
4891,9.552734375
5067,9.896484375
5214,10.18359375
5548,10.8359375
5717,11.166015625
6002,11.72265625
6320,12.34375
6497,12.689453125
6687,13.060546875
6884,13.4453125
7169,14.001953125
7396,14.4453125
7611,14.865234375
7783,15.201171875
8005,15.634765625
8218,16.05078125
8382,16.37109375
8570,16.73828125
8846,17.27734375
9057,17.689453125
9252,18.0703125
9554,18.66015625
9766,19.07421875
9904,19.34375
10164,19.8515625
10393,20.298828125
10589,20.681640625
10718,20.93359375
10866,21.22265625
11010,21.50390625
11228,21.9296875
11395,22.255859375
11673,22.798828125
11886,23.21484375
12201,23.830078125
12371,24.162109375
12514,24.44140625
12700,24.8046875
12881,25.158203125
13032,25.453125
13287,25.951171875
13463,26.294921875
13616,26.59375
13902,27.15234375
14109,27.556640625
14276,27.8828125
14438,28.19921875
14650,28.61328125
14868,29.0390625
15129,29.548828125
15308,29.8984375
15506,30.28515625
15739,30.740234375
15882,31.01953125
16029,31.306640625
16161,31.564453125
16387,32.005859375
16597,32.416015625
16851,32.912109375
17049,33.298828125
17286,33.76171875
17461,34.103515625
17628,34.4296875
17795,34.755859375
17936,35.03125
18080,35.3125
18318,35.77734375
18492,36.1171875
18678,36.48046875
18939,36.990234375
19116,37.3359375
19265,37.626953125
19400,37.890625
19570,38.22265625
19863,38.794921875
20128,39.3125
20358,39.76171875
20580,40.1953125
20916,40.8515625
21130,41.26953125
21264,41.53125
21520,42.03125
21793,42.564453125
21975,42.919921875
22118,43.19921875
22308,43.5703125
22550,44.04296875
22678,44.29296875
22831,44.591796875
23062,45.04296875
23239,45.388671875
23442,45.78515625
23646,46.18359375
23853,46.587890625
24123,47.115234375
24334,47.52734375
24483,47.818359375
24795,48.427734375
25021,48.869140625
25302,49.41796875
25557,49.916015625
25765,50.322265625
25939,50.662109375
26162,51.09765625
26420,51.6015625
26694,52.13671875
26880,52.5
27182,53.08984375
27405,53.525390625
27680,54.0625
27949,54.587890625
28213,55.103515625
28460,55.5859375
28627,55.912109375
28798,56.24609375
29013,56.666015625
29181,56.994140625
29415,57.451171875
29561,57.736328125
29750,58.10546875
29956,58.5078125
30187,58.958984375
30374,59.32421875
30575,59.716796875
30762,60.08203125
31065,60.673828125
31257,61.048828125
31407,61.341796875
31538,61.59765625
31764,62.0390625
31924,62.3515625
32093,62.681640625
32287,63.060546875
32454,63.38671875
32617,63.705078125
32749,63.962890625
32898,64.25390625
33090,64.62890625
33264,64.96875
33410,65.25390625
33714,65.84765625
33842,66.09765625
33986,66.37890625
34177,66.751953125
34404,67.1953125
34619,67.615234375
34910,68.18359375
35121,68.595703125
35319,68.982421875
35510,69.35546875
35726,69.77734375
35897,70.111328125
36176,70.65625
36385,71.064453125
36617,71.517578125
36789,71.853515625
36975,72.216796875
37162,72.58203125
37335,72.919921875
37464,73.171875
37654,73.54296875
37835,73.896484375
38047,74.310546875
38279,74.763671875
38445,75.087890625
38698,75.58203125
38840,75.859375
39048,76.265625
39178,76.51953125
39323,76.802734375
39531,77.208984375
39669,77.478515625
39856,77.84375
40096,78.3125
40304,78.71875
40479,79.060546875
40796,79.6796875
40947,79.974609375
41109,80.291015625
41331,80.724609375
41504,81.0625
41648,81.34375
41814,81.66796875
41982,81.99609375
42221,82.462890625
42433,82.876953125
42668,83.3359375
42846,83.68359375
42992,83.96875
43220,84.4140625
43439,84.841796875
43713,85.376953125
43922,85.78515625
44196,86.3203125
44467,86.849609375
44630,87.16796875
44846,87.58984375
45040,87.96875
45210,88.30078125
45509,88.884765625
45737,89.330078125
45899,89.646484375
46106,90.05078125
46270,90.37109375
46494,90.80859375
46636,91.0859375
