peak_sample,peak_time_s
296,27480.578125
816,27481.59375
1322,27482.58203125
1817,27483.548828125
2399,27484.685546875
2867,27485.599609375
3319,27486.482421875
3659,27487.146484375
4100,27488.0078125
4627,27489.037109375
5213,27490.181640625
5773,27491.275390625
6344,27492.390625
6897,27493.470703125
7427,27494.505859375
7948,27495.5234375
8462,27496.52734375
8969,27497.517578125
9473,27498.501953125
9991,27499.513671875
10613,27500.728515625
11030,27501.54296875
11540,27502.5390625
12007,27503.451171875
12467,27504.349609375
12959,27505.310546875
13482,27506.33203125
13998,27507.33984375
14504,27508.328125
15014,27509.32421875
15627,27510.521484375
16032,27511.3125
16515,27512.255859375
17015,27513.232421875
17629,27514.431640625
18042,27515.23828125
18546,27516.22265625
19053,27517.212890625
19558,27518.19921875
20035,27519.130859375
20533,27520.103515625
21059,27521.130859375
21672,27522.328125
22109,27523.181640625
22616,27524.171875
23213,27525.337890625
23695,27526.279296875
24184,27527.234375
24580,27528.0078125
25043,27528.912109375
25492,27529.7890625
25933,27530.650390625
26384,27531.53125
26866,27532.47265625
27321,27533.361328125
27774,27534.24609375
28217,27535.111328125
28642,27535.94140625
29048,27536.734375
29439,27537.498046875
29830,27538.26171875
30215,27539.013671875
30596,27539.7578125
30973,27540.494140625
31346,27541.22265625
31713,27541.939453125
32090,27542.67578125
32580,27543.6328125
32893,27544.244140625
33341,27545.119140625
33833,27546.080078125
34313,27547.017578125
34803,27547.974609375
35285,27548.916015625
35754,27549.83203125
36204,27550.7109375
36664,27551.609375
37152,27552.5625
37643,27553.521484375
38136,27554.484375
38628,27555.4453125
39109,27556.384765625
39565,27557.275390625
40020,27558.1640625
40479,27559.060546875
40946,27559.97265625
41420,27560.8984375
41928,27561.890625
42468,27562.9453125
42997,27563.978515625
43539,27565.037109375
44039,27566.013671875
44502,27566.91796875
44990,27567.87109375
45470,27568.80859375
45940,27569.7265625
46405,27570.634765625
46866,27571.53515625
47317,27572.416015625
47751,27573.263671875
48180,27574.1015625
48608,27574.9375
49126,27575.94921875
49439,27576.560546875
49944,27577.546875
50337,27578.314453125
50740,27579.1015625
51160,27579.921875
51480,27580.546875
51881,27581.330078125
52287,27582.123046875
52704,27582.9375
53140,27583.7890625
53701,27584.884765625
54169,27585.798828125
54632,27586.703125
55075,27587.568359375
55392,27588.1875
55817,27589.017578125
56337,27590.033203125
56750,27590.83984375
57260,27591.8359375
57768,27592.828125
58249,27593.767578125
58742,27594.73046875
59232,27595.6875
59712,27596.625
60272,27597.71875
60651,27598.458984375
61130,27599.39453125
