peak_sample,peak_time_s
375,0.732421875
750,1.46484375
890,1.73828125
1152,2.25
1313,2.564453125
1508,2.9453125
1670,3.26171875
1822,3.55859375
2076,4.0546875
2331,4.552734375
2595,5.068359375
2860,5.5859375
3149,6.150390625
3448,6.734375
3725,7.275390625
4005,7.822265625
4294,8.38671875
4582,8.94921875
4972,9.7109375
5172,10.1015625
5473,10.689453125
5777,11.283203125
6087,11.888671875
6274,12.25390625
6511,12.716796875
6844,13.3671875
7049,13.767578125
7265,14.189453125
7579,14.802734375
7887,15.404296875
8047,15.716796875
8184,15.984375
8469,16.541015625
8607,16.810546875
8782,17.15234375
8987,17.552734375
9288,18.140625
9577,18.705078125
9871,19.279296875
10266,20.05078125
10419,20.349609375
10565,20.634765625
10780,21.0546875
11031,21.544921875
11208,21.890625
11413,22.291015625
11741,22.931640625
11981,23.400390625
12136,23.703125
12275,23.974609375
12464,24.34375
12659,24.724609375
12949,25.291015625
13229,25.837890625
13509,26.384765625
13729,26.814453125
13890,27.12890625
14081,27.501953125
14362,28.05078125
14649,28.611328125
14969,29.236328125
15293,29.869140625
15598,30.46484375
15913,31.080078125
16231,31.701171875
16560,32.34375
16862,32.93359375
17163,33.521484375
17461,34.103515625
17760,34.6875
18067,35.287109375
18365,35.869140625
18653,36.431640625
18945,37.001953125
19249,37.595703125
19579,38.240234375
19881,38.830078125
20171,39.396484375
20462,39.96484375
20748,40.5234375
21034,41.08203125
21318,41.63671875
21603,42.193359375
21887,42.748046875
22188,43.3359375
22495,43.935546875
22791,44.513671875
23084,45.0859375
23373,45.650390625
23658,46.20703125
23943,46.763671875
24243,47.349609375
24557,47.962890625
24855,48.544921875
25150,49.12109375
25478,49.76171875
25788,50.3671875
26089,50.955078125
26390,51.54296875
26682,52.11328125
26987,52.708984375
27290,53.30078125
27583,53.873046875
27874,54.44140625
28164,55.0078125
28475,55.615234375
28775,56.201171875
29065,56.767578125
29356,57.3359375
29660,57.9296875
29965,58.525390625
30273,59.126953125
30575,59.716796875
30875,60.302734375
31174,60.88671875
31505,61.533203125
31840,62.1875
32155,62.802734375
32458,63.39453125
32760,63.984375
33056,64.5625
33346,65.12890625
33632,65.6875
33927,66.263671875
34234,66.86328125
34526,67.43359375
34822,68.01171875
35146,68.64453125
35470,69.27734375
35779,69.880859375
36081,70.470703125
36381,71.056640625
36676,71.6328125
36963,72.193359375
37251,72.755859375
37539,73.318359375
37830,73.88671875
38141,74.494140625
38438,75.07421875
38731,75.646484375
39031,76.232421875
39325,76.806640625
39617,77.376953125
39915,77.958984375
40214,78.54296875
40540,79.1796875
40850,79.78515625
41158,80.38671875
41553,81.158203125
41744,81.53125
42038,82.10546875
42319,82.654296875
42593,83.189453125
42866,83.72265625
43135,84.248046875
43398,84.76171875
43660,85.2734375
43925,85.791015625
44191,86.310546875
44491,86.896484375
44875,87.646484375
45168,88.21875
45455,88.779296875
45636,89.1328125
45853,89.556640625
46194,90.22265625
46471,90.763671875
46743,91.294921875
47012,91.8203125
47281,92.345703125
47554,92.87890625
47850,93.45703125
48128,94.0
48407,94.544921875
48686,95.08984375
48970,95.64453125
49258,96.20703125
49543,96.763671875
49827,97.318359375
50112,97.875
50401,98.439453125
50690,99.00390625
50974,99.55859375
51257,100.111328125
51538,100.66015625
51814,101.19921875
52084,101.7265625
52351,102.248046875
52615,102.763671875
52874,103.26953125
53132,103.7734375
53392,104.28125
53752,104.984375
54008,105.484375
54267,105.990234375
54521,106.486328125
54779,106.990234375
55030,107.48046875
55183,107.779296875
55432,108.265625
55680,108.75
55929,109.236328125
56179,109.724609375
56426,110.20703125
56682,110.70703125
56933,111.197265625
57186,111.69140625
57442,112.19140625
57700,112.6953125
57962,113.20703125
58222,113.71484375
58486,114.23046875
58759,114.763671875
59044,115.3203125
59318,115.85546875
59591,116.388671875
59866,116.92578125
60137,117.455078125
60408,117.984375
60675,118.505859375
60941,119.025390625
61308,119.7421875
61473,120.064453125
61737,120.580078125
62003,121.099609375
62269,121.619140625
62545,122.158203125
62822,122.69921875
63094,123.23046875
63366,123.76171875
63639,124.294921875
63908,124.8203125
64176,125.34375
64444,125.8671875
64713,126.392578125
64980,126.9140625
65202,127.34765625
65343,127.623046875
65504,127.9375
65768,128.453125
66027,128.958984375
66287,129.466796875
66544,129.96875
66805,130.478515625
67064,130.984375
67323,131.490234375
67542,131.91796875
67685,132.197265625
67863,132.544921875
68104,133.015625
68301,133.400390625
68617,134.017578125
68812,134.3984375
68972,134.7109375
69230,135.21484375
69488,135.71875
