peak_sample,peak_time_s
296,0.578125
816,1.59375
1322,2.58203125
1817,3.548828125
2399,4.685546875
2867,5.599609375
3319,6.482421875
3659,7.146484375
4100,8.0078125
4627,9.037109375
5213,10.181640625
5773,11.275390625
6344,12.390625
6897,13.470703125
7427,14.505859375
7948,15.5234375
8462,16.52734375
8969,17.517578125
9473,18.501953125
9991,19.513671875
10613,20.728515625
11030,21.54296875
11540,22.5390625
12007,23.451171875
12467,24.349609375
12959,25.310546875
13482,26.33203125
13998,27.33984375
14504,28.328125
15014,29.32421875
15627,30.521484375
16032,31.3125
16515,32.255859375
17015,33.232421875
17629,34.431640625
18042,35.23828125
18546,36.22265625
19053,37.212890625
19558,38.19921875
20035,39.130859375
20533,40.103515625
21059,41.130859375
21672,42.328125
22109,43.181640625
22616,44.171875
23213,45.337890625
23695,46.279296875
24184,47.234375
24580,48.0078125
25043,48.912109375
25492,49.7890625
25933,50.650390625
26384,51.53125
26866,52.47265625
27321,53.361328125
27774,54.24609375
28217,55.111328125
28642,55.94140625
29048,56.734375
29439,57.498046875
29830,58.26171875
30215,59.013671875
30596,59.7578125
30973,60.494140625
31346,61.22265625
31713,61.939453125
32090,62.67578125
32580,63.6328125
32893,64.244140625
33341,65.119140625
33833,66.080078125
34313,67.017578125
34803,67.974609375
35285,68.916015625
35754,69.83203125
36204,70.7109375
36664,71.609375
37152,72.5625
37643,73.521484375
38136,74.484375
38628,75.4453125
39109,76.384765625
39565,77.275390625
40020,78.1640625
40479,79.060546875
40946,79.97265625
41420,80.8984375
41928,81.890625
42468,82.9453125
42997,83.978515625
43539,85.037109375
44039,86.013671875
44502,86.91796875
44990,87.87109375
45470,88.80859375
45940,89.7265625
46405,90.634765625
46866,91.53515625
47317,92.416015625
47751,93.263671875
48180,94.1015625
48608,94.9375
49126,95.94921875
49439,96.560546875
49944,97.546875
50337,98.314453125
50740,99.1015625
51160,99.921875
51480,100.546875
51881,101.330078125
52287,102.123046875
52704,102.9375
53140,103.7890625
53701,104.884765625
54169,105.798828125
54632,106.703125
55075,107.568359375
55392,108.1875
55817,109.017578125
56337,110.033203125
56750,110.83984375
57260,111.8359375
57768,112.828125
58249,113.767578125
58742,114.73046875
59232,115.6875
59712,116.625
60272,117.71875
60651,118.458984375
61130,119.39453125
