peak_sample,peak_time_s
194,0.37890625
917,1.791015625
1762,3.44140625
2533,4.947265625
3241,6.330078125
5426,10.59765625
10347,20.208984375
10921,21.330078125
13621,26.603515625
13913,27.173828125
14496,28.3125
14779,28.865234375
15056,29.40625
15329,29.939453125
15597,30.462890625
15867,30.990234375
16140,31.5234375
17540,34.2578125
17817,34.798828125
19794,38.66015625
21138,41.28515625
21742,42.46484375
22156,43.2734375
22344,43.640625
26495,51.748046875
26780,52.3046875
27064,52.859375
27348,53.4140625
27692,54.0859375
28010,54.70703125
28320,55.3125
28636,55.9296875
28971,56.583984375
29320,57.265625
29646,57.90234375
29970,58.53515625
30291,59.162109375
30618,59.80078125
31661,61.837890625
32111,62.716796875
35586,69.50390625
35880,70.078125
38159,74.529296875
38456,75.109375
42611,83.224609375
42899,83.787109375
43187,84.349609375
43474,84.91015625
43759,85.466796875
44040,86.015625
44331,86.583984375
44627,87.162109375
44926,87.74609375
45218,88.31640625
45534,88.93359375
45737,89.330078125
46166,90.16796875
46379,90.583984375
46689,91.189453125
48950,95.60546875
49262,96.21484375
49576,96.828125
50632,98.890625
51800,101.171875
55062,107.54296875
